repo_name,language,clone_url,github_id,created_at,topics,stars
andreasonny83/unique-names-generator,typescript,https://github.com/andreasonny83/unique-names-generator.git,4025940,2018-02-21,"[""name-generator"", ""nodejs"", ""npm"", ""npm-package""]",526
andycall/rcre,typescript,https://github.com/andycall/rcre.git,4026386,2019-03-10,[],674
emonney/quickapp,typescript,https://github.com/emonney/quickapp.git,4027299,2017-02-23,"[""ai"", ""ai-template"", ""angular"", ""asp-net-core"", ""aspnet-core"", ""aspnetcore"", ""identityserver4"", ""rad"", ""rapid-development"", ""template"", ""template-project""]",1333
trimox/angular-mdc-web,typescript,https://github.com/trimox/angular-mdc-web.git,4027306,2017-04-13,[],543
joe-re/sql-language-server,typescript,https://github.com/joe-re/sql-language-server.git,4027324,2018-05-02,"[""language-server-protocol"", ""lint"", ""sql""]",700
alexandercerutti/passkit-generator,typescript,https://github.com/alexandercerutti/passkit-generator.git,4027344,2018-09-12,"[""apple"", ""apple-pass"", ""apple-passkit"", ""apple-wallet"", ""ios"", ""pass"", ""passkit"", ""wallet""]",1235
dancancro/great-big-example-application,typescript,https://github.com/dancancro/great-big-example-application.git,4028342,2016-10-23,[],904
rxjs-cn/rxjs-docs-cn,typescript,https://github.com/rxjs-cn/rxjs-docs-cn.git,4028345,2017-05-01,[],779
haikuteam/core,typescript,https://github.com/haikuteam/core.git,4028346,2018-01-29,[],733
linkedin/opticss,typescript,https://github.com/linkedin/opticss.git,4028347,2017-08-02,[],716
localvoid/ivi,typescript,https://github.com/localvoid/ivi.git,4028356,2016-11-13,"[""frontend"", ""ui"", ""web""]",795
tvillarete/ipod-classic-js,typescript,https://github.com/tvillarete/ipod-classic-js.git,4028368,2019-12-23,"[""apple-music""]",1608
yannbf/ionic3-components,typescript,https://github.com/yannbf/ionic3-components.git,4030046,2016-11-04,[],1691
harryho/react-crm,typescript,https://github.com/harryho/react-crm.git,4030057,2017-07-09,"[""material-ui"", ""react"", ""react-redux"", ""real-world"", ""storybook"", ""thunk"", ""typescript""]",523
ascoders/gaea-editor,typescript,https://github.com/ascoders/gaea-editor.git,4030811,2016-09-20,[],1127
ibm/openapi-to-graphql,typescript,https://github.com/ibm/openapi-to-graphql.git,4030813,2018-09-05,"[""graphql"", ""oas-to-graphql"", ""openapi-specification"", ""openapi-to-graphql"", ""rest-api"", ""swagger"", ""swagger-to-graphql"", ""translation"", ""wrapper""]",1645
sourcegraph/javascript-typescript-langserver,typescript,https://github.com/sourcegraph/javascript-typescript-langserver.git,4030814,2016-09-21,[],798
edcarroll/ng2-semantic-ui,typescript,https://github.com/edcarroll/ng2-semantic-ui.git,4030821,2016-04-05,[],626
iamvucms/react-native-instagram-clone,typescript,https://github.com/iamvucms/react-native-instagram-clone.git,4030828,2020-04-13,[],689
microsoft/angular-react,typescript,https://github.com/microsoft/angular-react.git,4030830,2018-08-10,"[""angular"", ""office-ui-fabric"", ""react""]",546
happykit/flags,typescript,https://github.com/happykit/flags.git,4030868,2020-09-06,"[""feature-flags"", ""feature-toggles"", ""nextjs"", ""react"", ""reactjs""]",1049
toonvanstrijp/nestjs-i18n,typescript,https://github.com/toonvanstrijp/nestjs-i18n.git,4030889,2019-03-24,"[""i18n"", ""nestjs"", ""nodejs"", ""typescript""]",718
mattlewis92/angular-calendar,typescript,https://github.com/mattlewis92/angular-calendar.git,4032011,2016-04-26,"[""angular"", ""calendar"", ""calendar-component""]",2818
frontarm/navi,typescript,https://github.com/frontarm/navi.git,4032012,2016-09-24,[],2072
actions-on-google/actions-on-google-nodejs,typescript,https://github.com/actions-on-google/actions-on-google-nodejs.git,4032021,2016-12-08,[],901
thx/rap2-dolores,typescript,https://github.com/thx/rap2-dolores.git,4032027,2017-11-23,[],610
zalando-incubator/graphql-jit,typescript,https://github.com/zalando-incubator/graphql-jit.git,4032029,2018-10-12,[],1084
zxch3n/pomodorologger,typescript,https://github.com/zxch3n/pomodorologger.git,4032050,2019-07-08,[],806
viktorgullmark/exilence-next,typescript,https://github.com/viktorgullmark/exilence-next.git,4032068,2019-06-13,[],567
aaronius/penpal,typescript,https://github.com/aaronius/penpal.git,4032086,2016-10-30,"[""communication"", ""iframe"", ""iframes"", ""message-channel"", ""message-port"", ""port"", ""postmessage"", ""promise"", ""service-worker"", ""service-workers"", ""shared-worker"", ""shared-workers"", ""web-worker"", ""web-workers"", ""window"", ""windows"", ""workers""]",541
kac89/vulnrepo,typescript,https://github.com/kac89/vulnrepo.git,4032589,2017-04-01,"[""asvs"", ""bugbounty"", ""burpsuite"", ""end-to-end-encryption"", ""hacking"", ""nessus"", ""ollama"", ""openvas"", ""owasp"", ""pci-dss"", ""pentest-report"", ""pentesting"", ""reporting"", ""reporting-tool"", ""security"", ""security-tool"", ""semgrep"", ""trivy"", ""vulnerabilities"", ""zaproxy""]",563
nx-go/nx-go,typescript,https://github.com/nx-go/nx-go.git,4032627,2020-07-25,"[""automation"", ""go"", ""golang"", ""monorepo"", ""nx"", ""nx-plugin"", ""nx-workspace""]",565
compodoc/compodoc,typescript,https://github.com/compodoc/compodoc.git,4033831,2016-10-17,"[""angular"", ""angular2"", ""ast"", ""devtools"", ""documentation"", ""documentation-tool"", ""generator"", ""jsdoc"", ""typescript""]",4115
tomastrajan/angular-ngrx-material-starter,typescript,https://github.com/tomastrajan/angular-ngrx-material-starter.git,4033832,2017-05-10,[],2735
millsp/ts-toolbelt,typescript,https://github.com/millsp/ts-toolbelt.git,4033833,2019-06-08,"[""dynamic-types"", ""safety"", ""type-checking"", ""type-safety"", ""type-utilities"", ""types"", ""typescript"", ""typescript-library"", ""utility""]",6972
daybrush/scenejs,typescript,https://github.com/daybrush/scenejs.git,4033834,2017-03-24,"[""angular"", ""animation"", ""css3"", ""css3-animation"", ""graphic"", ""javascript"", ""javascript-animation"", ""javascript-animation-library"", ""motion"", ""preact"", ""react"", ""scene"", ""scenejs"", ""timeline"", ""typescript"", ""vue""]",2495
microsoft/azure-repos-vscode,typescript,https://github.com/microsoft/azure-repos-vscode.git,4033846,2016-03-07,[],653
xobotyi/react-scrollbars-custom,typescript,https://github.com/xobotyi/react-scrollbars-custom.git,4033849,2018-07-02,"[""component"", ""custom"", ""customizable"", ""react"", ""react-component"", ""scroll"", ""scrollbar"", ""scrollbars"", ""scroller""]",819
danielykpan/date-time-picker,typescript,https://github.com/danielykpan/date-time-picker.git,4033850,2016-11-25,"[""angular"", ""angular-cli"", ""angular-material"", ""angular6"", ""component"", ""datetime-picker"", ""momentjs"", ""picker""]",558
stoically/temporary-containers,typescript,https://github.com/stoically/temporary-containers.git,4033851,2017-11-23,[],750
ota-meshi/eslint-plugin-regexp,typescript,https://github.com/ota-meshi/eslint-plugin-regexp.git,4034577,2020-06-20,"[""eslint-plugin"", ""eslintplugin"", ""regex"", ""regexp"", ""regular-expression""]",769
alexkhymenko/ngx-permissions,typescript,https://github.com/alexkhymenko/ngx-permissions.git,4034749,2017-08-16,"[""access"", ""access-control"", ""acl"", ""angular"", ""angular-permissions"", ""angular2"", ""angular2-permission"", ""angular2-permissions"", ""angular4"", ""angular5"", ""ng-permission"", ""ng2-permissions"", ""ngx-permission"", ""ngx-permissions"", ""permissions"", ""rbac"", ""roles""]",952
peterding/chord,typescript,https://github.com/peterding/chord.git,4034752,2018-09-12,[],744
sinclairzx81/typebox,typescript,https://github.com/sinclairzx81/typebox.git,4034762,2017-04-06,"[""jsonschema"", ""typescript""]",6789
vlio20/angular-datepicker,typescript,https://github.com/vlio20/angular-datepicker.git,4034763,2016-11-04,"[""angular"", ""angular10"", ""calendar-widget"", ""component"", ""date-picker"", ""datepicker"", ""day-calendar"", ""month-calendar"", ""month-picker"", ""monthpicker"", ""ngx"", ""timepicker""]",509
metamask/eth-sig-util,typescript,https://github.com/metamask/eth-sig-util.git,4034792,2017-02-21,[],586
daninet/hash-wasm,typescript,https://github.com/daninet/hash-wasm.git,4035307,2020-04-10,"[""argon2"", ""bcrypt"", ""browser"", ""fast"", ""hash"", ""hmac"", ""javascript"", ""keccak"", ""md5"", ""pbkdf2"", ""scrypt"", ""sha1"", ""sha256"", ""sha3"", ""sha512"", ""sm3"", ""typescript"", ""wasm"", ""webassembly"", ""xxhash""]",885
warrenday/graphql-network-inspector,typescript,https://github.com/warrenday/graphql-network-inspector.git,4035385,2020-08-27,[],587
callstack/haul,typescript,https://github.com/callstack/haul.git,4036100,2017-03-20,[],3585
0xproject/0x-monorepo,typescript,https://github.com/0xproject/0x-monorepo.git,4036110,2017-05-23,[],1341
replit/clui,typescript,https://github.com/replit/clui.git,4036116,2019-12-16,[],1240
qiu8310/minapp,typescript,https://github.com/qiu8310/minapp.git,4036118,2018-03-01,[],927
sghall/react-compound-slider,typescript,https://github.com/sghall/react-compound-slider.git,4036123,2017-08-10,[],607
seek-oss/capsize,typescript,https://github.com/seek-oss/capsize.git,4036132,2020-06-03,[],1694
eakoriakin/ionic-selectable,typescript,https://github.com/eakoriakin/ionic-selectable.git,4036133,2018-02-07,"[""ion-select"", ""ionic"", ""search"", ""searchbar"", ""select""]",539
graphile/migrate,typescript,https://github.com/graphile/migrate.git,4036146,2019-03-01,[],831
angular-architects/module-federation-plugin,typescript,https://github.com/angular-architects/module-federation-plugin.git,4036251,2020-10-10,[],849
microsoft/vott,typescript,https://github.com/microsoft/vott.git,4037354,2016-12-29,[],3673
freecodecamp/chapter,typescript,https://github.com/freecodecamp/chapter.git,4037358,2019-10-14,[],1909
