repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
jamaljsr/polar,typescript,0,0,,,https://github.com/jamaljsr/polar.git,0,0,0,2019-08-09T05:40:08,"[""bitcoin"", ""bitcoind"", ""c-lightning"", ""docker"", ""electron"", ""lightning"", ""lightning-network"", ""lnd"", ""polar"", ""react""]"
jigsaw-code/outline-client,typescript,0,0,,,https://github.com/jigsaw-code/outline-client.git,1,1,0,2018-03-13T09:42:30,"[""android"", ""chromeos"", ""cordova"", ""electron"", ""ios"", ""linux"", ""macos"", ""shadowsocks"", ""windows""]"
imolorhe/altair,typescript,0,0,,,https://github.com/imolorhe/altair.git,5,5,0,2017-03-25T09:08:30,[]
johnkorzhuk/grabient,typescript,0,0,,,https://github.com/johnkorzhuk/grabient.git,1,0,1,2017-05-06T11:41:30,[]
just-jeb/angular-builders,typescript,0,0,,,https://github.com/just-jeb/angular-builders.git,0,0,0,2018-07-03T02:15:02,"[""angular"", ""angular-cli"", ""angular15"", ""angular16"", ""angular17"", ""angular18"", ""build"", ""builder"", ""builders"", ""custom"", ""customization"", ""customized-builds"", ""dev-server"", ""extend"", ""ivy"", ""jest"", ""jest-test"", ""unit-test"", ""webpack"", ""webpack-dev-server""]"
jsforce/jsforce,typescript,0,0,,,https://github.com/jsforce/jsforce.git,0,0,0,2014-01-30T08:56:14,"[""jsforce"", ""salesforce""]"
jesec/flood,typescript,0,0,,,https://github.com/jesec/flood.git,1,1,0,2020-08-03T01:48:43,"[""collaborate"", ""nodejs"", ""qbittorrent"", ""react"", ""rtorrent"", ""transmission"", ""webui""]"
kern/filepizza,typescript,0,0,,,https://github.com/kern/filepizza.git,0,0,0,2015-02-25T11:29:26,"[""react"", ""webrtc""]"
justjake/quickjs-emscripten,typescript,0,0,,,https://github.com/justjake/quickjs-emscripten.git,3,2,1,2020-01-05T04:09:48,"[""eval"", ""javascript"", ""plugins"", ""quickjs"", ""wasm""]"
koenkk/zigbee-herdsman,typescript,0,0,,,https://github.com/koenkk/zigbee-herdsman.git,4,1,3,2019-06-15T07:42:31,"[""hacktoberfest""]"
kriasoft/react-starter-kit,typescript,0,0,,,https://github.com/kriasoft/react-starter-kit.git,0,0,0,2014-04-16T01:08:18,"[""better-auth"", ""boilerplate"", ""bun"", ""cloudflare"", ""cloudflare-workers"", ""drizzle-orm"", ""gcp"", ""hono"", ""neon"", ""nodejs"", ""react"", ""saas"", ""shadcn-ui"", ""starter-kit"", ""tailwindcss"", ""tanstack-router"", ""template"", ""trpc"", ""typescript"", ""vite""]"
kristiandupont/kanel,typescript,0,0,,,https://github.com/kristiandupont/kanel.git,0,0,0,2020-02-18T07:08:09,[]
johnpapa/vscode-peacock,typescript,0,0,,,https://github.com/johnpapa/vscode-peacock.git,21,11,10,2019-02-22T05:50:25,"[""ai-ready"", ""typescript"", ""visual-studio-code"", ""vscode"", ""vscode-extension"", ""vscode-plugin"", ""vsls""]"
lichess-org/api,typescript,0,0,,,https://github.com/lichess-org/api.git,0,0,0,2018-04-01T09:24:19,"[""lichess""]"
lucide-icons/lucide,typescript,3,1,a0e202d759da95c243b541f8d3c1c26eada32b2e,a0e202d759da95c243b541f8d3c1c26eada32b2e,https://github.com/lucide-icons/lucide.git,5,3,2,2020-06-08T03:36:21,"[""feather-icons"", ""figma"", ""icons"", ""react"", ""svg"", ""svg-icons"", ""svgs"", ""ui-components"", ""ui-design"", ""vue""]"
kufu/smarthr-ui,typescript,0,0,,,https://github.com/kufu/smarthr-ui.git,23,17,6,2018-05-10T07:32:43,"[""hacktoberfest""]"
kinvolk/headlamp,typescript,0,0,,,https://github.com/kinvolk/headlamp.git,0,0,0,2019-11-08T09:00:03,[]
lizhiyao/sentry-miniapp,typescript,12,3,476c0f90038fb6b5b3464136c63c066a23e56819,63b3e5baf724e0320cb48eccb581229b36510e1e,https://github.com/lizhiyao/sentry-miniapp.git,22,12,10,2019-08-07T02:16:04,"[""alipay-miniprogram"", ""apm"", ""breadcrumbs"", ""bytedance-miniprogram"", ""crash-reporting"", ""distributed-tracing"", ""error-monitoring"", ""error-tracking"", ""mini-program"", ""monitoring"", ""performance-monitoring"", ""qq-miniprogram"", ""sentry"", ""session-tracking"", ""sourcemap"", ""taro"", ""uniapp"", ""weapp"", ""wechat"", ""wechat-miniprogram""]"
maildev/maildev,typescript,6,1,f78e5cb42e89d88d57d698c384256a1ae2b9abee,f78e5cb42e89d88d57d698c384256a1ae2b9abee,https://github.com/maildev/maildev.git,1,0,1,2013-03-31T07:37:09,"[""developer-tools"", ""development"", ""docker"", ""mailcatcher"", ""maildev"", ""nodejs"", ""nodemailer"", ""smtp"", ""smtp-server"", ""testing""]"
