repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,agent_type,commit_kind
StarRocks/starrocks,java,9e185f90089d98391f7307f5954b62f89ca5af9a,fe/fe-core/src/test/java/com/starrocks/sql/analyzer/ShowStmtAnalyzerFilesSchemaTest.java,beforeClass,junit5_before_all,19,23,5,junit,0,claude,agent
StarRocks/starrocks,java,9e185f90089d98391f7307f5954b62f89ca5af9a,fe/fe-core/src/test/java/com/starrocks/sql/plan/FilesSchemaPlanTest.java,beforeAll,junit5_before_all,35,41,7,junit,0,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/BrokerLoadPreSplitHookTest.java,setUp,junit5_before_each,55,59,5,junit,0,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/BrokerLoadPreSplitHookTest.java,tearDown,junit5_after_each,61,64,4,junit,0,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/DefaultPreSplitPipelineTest.java,setUp,junit5_before_each,67,81,13,junit,3,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/DefaultPreSplitPipelineTest.java,tearDown,junit5_after_each,83,87,5,junit,0,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/InsertFromFilesPreSplitHookTest.java,setUp,junit5_before_each,71,75,5,junit,0,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/InsertFromFilesPreSplitHookTest.java,tearDown,junit5_after_each,77,80,4,junit,0,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/TabletPreSplitCoordinatorTest.java,setUp,junit5_before_each,67,109,39,junit,7,claude,agent
StarRocks/starrocks,java,131a83ee6e6f36d8464c92681862d69048e1d2d5,fe/fe-core/src/test/java/com/starrocks/alter/reshard/presplit/TabletPreSplitCoordinatorTest.java,tearDown,junit5_after_each,129,137,9,junit,0,claude,agent
StarRocks/starrocks,java,1f71cab1ffc10904a02b91c6ade7ae30b0882182,fe/fe-core/src/test/java/com/starrocks/alter/RangeDistributionGuardTest.java,setUp,junit5_before_all,39,47,9,junit,0,claude,agent
StarRocks/starrocks,java,1f71cab1ffc10904a02b91c6ade7ae30b0882182,fe/fe-core/src/test/java/com/starrocks/alter/RangeDistributionGuardTest.java,tearDown,junit5_after_all,49,52,4,junit,0,claude,agent
StarRocks/starrocks,java,0d3599c4797201add287d20ee9f2772063b2fd14,fe/fe-core/src/test/java/com/starrocks/service/FrontendServiceImplUpdateImmutablePartitionTest.java,beforeClass,junit5_before_all,74,96,22,junit,0,claude,agent
StarRocks/starrocks,java,3b28b82a805a72bbaaaf97da82f260ed6f74797b,fe/fe-core/src/test/java/com/starrocks/sql/plan/IcebergCompressedKeyTest.java,beforeClass,junit5_before_all,41,53,13,junit,0,claude,agent
StarRocks/starrocks,java,3b28b82a805a72bbaaaf97da82f260ed6f74797b,fe/fe-core/src/test/java/com/starrocks/sql/plan/IcebergCompressedKeyTest.java,afterClass,junit5_after_all,55,62,8,junit,0,claude,agent
StarRocks/starrocks,java,0d72eb1753c8aecc5e96e45e83790264ff2facff,fe/fe-core/src/test/java/com/starrocks/scheduler/ShowMaterializedViewStatusTest.java,setUp,junit5_before_each,41,56,15,junit,0,claude,agent
StarRocks/starrocks,java,d0924d3a73ce61b915241b88022bb56d75e4ccfa,fe/fe-core/src/test/java/com/starrocks/alter/ConcurrentAddPartitionDuringAlterE2ETest.java,setUp,junit5_before_all,57,66,10,junit,0,claude,agent
StarRocks/starrocks,java,d0924d3a73ce61b915241b88022bb56d75e4ccfa,fe/fe-core/src/test/java/com/starrocks/alter/ConcurrentAddPartitionDuringAlterE2ETest.java,tearDown,junit5_after_all,68,71,4,junit,0,claude,agent
StarRocks/starrocks,java,d0924d3a73ce61b915241b88022bb56d75e4ccfa,fe/fe-core/src/test/java/com/starrocks/alter/ConcurrentAddPartitionDuringAlterE2ETest.java,before,junit5_before_each,73,81,9,junit,0,claude,agent
StarRocks/starrocks,java,d0924d3a73ce61b915241b88022bb56d75e4ccfa,fe/fe-core/src/test/java/com/starrocks/alter/ConcurrentAddPartitionDuringAlterE2ETest.java,after,junit5_after_each,83,87,5,junit,0,claude,agent
StarRocks/starrocks,java,40b67191df7dc188d3caa35aad2e18323ab095c8,fe/fe-core/src/test/java/com/starrocks/common/lock/LockerIntensiveLockRollbackTest.java,setUp,junit5_before_each,46,49,4,junit,0,claude,agent
