repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
jonobr1/two.js,1,javascript,8622,https://github.com/jonobr1/two.js.git,55,,2026-05-26T01:02:47.254538+00:00
toorshia/justgage,1,javascript,1889,https://github.com/toorshia/justgage.git,28,,2026-05-26T01:02:54.287471+00:00
dynamoose/dynamoose,1,javascript,2250,https://github.com/dynamoose/dynamoose.git,131,,2026-05-26T01:02:54.875472+00:00
chinchang/web-maker,1,javascript,2689,https://github.com/chinchang/web-maker.git,23,,2026-05-26T01:02:58.952495+00:00
prismarinejs/flying-squid,1,javascript,596,https://github.com/prismarinejs/flying-squid.git,52,,2026-05-26T01:03:11.884587+00:00
keyboardio/chrysalis,1,javascript,509,https://github.com/keyboardio/chrysalis.git,47,,2026-05-26T01:03:13.932656+00:00
glin/reactable,1,javascript,672,https://github.com/glin/reactable.git,9,,2026-05-26T01:03:44.156820+00:00
sverweij/dependency-cruiser,1,javascript,6684,https://github.com/sverweij/dependency-cruiser.git,49,,2026-05-26T01:04:01.308882+00:00
yaireo/tagify,1,javascript,2578,https://github.com/yaireo/tagify.git,49,,2026-05-26T01:04:03.278652+00:00
zalo/cascadestudio,1,javascript,1356,https://github.com/zalo/cascadestudio.git,12,,2026-05-26T01:04:53.545824+00:00
rollbar/rollbar.js,1,javascript,589,https://github.com/rollbar/rollbar.js.git,101,,2026-05-26T01:04:54.957114+00:00
datadog/dd-trace-js,1,javascript,810,https://github.com/datadog/dd-trace-js.git,239,,2026-05-26T01:05:24.454632+00:00
alshedivat/al-folio,1,javascript,3435,https://github.com/alshedivat/al-folio.git,64,,2026-05-26T01:05:43.067436+00:00
processing/p5.js,1,javascript,23699,https://github.com/processing/p5.js.git,353,,2026-05-26T01:06:12.045306+00:00
30-seconds/30-seconds-of-code,1,javascript,115518,https://github.com/30-seconds/30-seconds-of-code.git,390,,2026-05-26T01:06:28.600976+00:00
axios/axios,1,javascript,109073,https://github.com/axios/axios.git,444,,2026-05-26T01:06:32.408809+00:00
azgaar/fantasy-map-generator,1,javascript,5670,https://github.com/azgaar/fantasy-map-generator.git,66,,2026-05-26T01:06:54.656860+00:00
telerik/kendo-ui-core,1,javascript,2578,https://github.com/telerik/kendo-ui-core.git,283,,2026-05-26T01:07:13.018010+00:00
chartbrew/chartbrew,1,javascript,3935,https://github.com/chartbrew/chartbrew.git,22,,2026-05-26T01:07:22.682605+00:00
cboard-org/cboard,1,javascript,736,https://github.com/cboard-org/cboard.git,83,,2026-05-26T01:07:22.825498+00:00
rexrainbow/phaser3-rex-notes,1,javascript,1325,https://github.com/rexrainbow/phaser3-rex-notes.git,44,,2026-05-26T01:07:23.285978+00:00
sweetalert2/sweetalert2,1,javascript,18078,https://github.com/sweetalert2/sweetalert2.git,118,,2026-05-26T01:07:24.169041+00:00
swagger-api/swagger-ui,1,javascript,28800,https://github.com/swagger-api/swagger-ui.git,390,,2026-05-26T01:07:24.200605+00:00
swagger-api/swagger-editor,1,javascript,9433,https://github.com/swagger-api/swagger-editor.git,16,,2026-05-26T01:07:25.735299+00:00
codeceptjs/codeceptjs,1,javascript,4223,https://github.com/codeceptjs/codeceptjs.git,382,,2026-05-26T01:07:25.765928+00:00
swagger-api/swagger-js,1,javascript,2693,https://github.com/swagger-api/swagger-js.git,202,,2026-05-26T01:07:35.575749+00:00
char0n/ramda-adjunct,1,javascript,686,https://github.com/char0n/ramda-adjunct.git,68,,2026-05-26T01:07:45.298581+00:00
jihong88/suneditor,1,javascript,1985,https://github.com/jihong88/suneditor.git,61,,2026-05-26T01:07:47.529455+00:00
asciidoctor/asciidoctor.js,1,javascript,793,https://github.com/asciidoctor/asciidoctor.js.git,32,,2026-05-26T01:07:47.620732+00:00
dequelabs/axe-core,1,javascript,7180,https://github.com/dequelabs/axe-core.git,225,,2026-05-26T01:08:11.644235+00:00
camunda/camunda-modeler,1,javascript,1676,https://github.com/camunda/camunda-modeler.git,64,,2026-05-26T01:08:31.612869+00:00
prebid/prebid.js,1,javascript,1574,https://github.com/prebid/prebid.js.git,428,,2026-05-26T01:08:31.733104+00:00
troyeguo/koodo-reader,1,javascript,11908,https://github.com/troyeguo/koodo-reader.git,10,,2026-05-26T01:08:43.447176+00:00
handsontable/handsontable,1,javascript,21906,https://github.com/handsontable/handsontable.git,136,,2026-05-26T01:08:44.814563+00:00
mochajs/mocha,1,javascript,22886,https://github.com/mochajs/mocha.git,422,,2026-05-26T01:08:54.725100+00:00
medic/cht-core,1,javascript,541,https://github.com/medic/cht-core.git,117,,2026-05-26T01:08:55.531444+00:00
meteor/meteor,1,javascript,44785,https://github.com/meteor/meteor.git,357,,2026-05-26T01:08:59.150011+00:00
tryghost/ghost,1,javascript,53648,https://github.com/tryghost/ghost.git,372,,2026-05-26T01:08:59.731824+00:00
sap/openui5,1,javascript,3182,https://github.com/sap/openui5.git,253,,2026-05-26T01:09:02.924752+00:00
aframevr/aframe,1,javascript,17535,https://github.com/aframevr/aframe.git,410,,2026-05-26T01:09:06.989219+00:00
dyatko/arkit,1,javascript,968,https://github.com/dyatko/arkit.git,6,,2026-05-26T01:10:10.033597+00:00
circleci/circleci-docs,1,javascript,814,https://github.com/circleci/circleci-docs.git,335,,2026-05-26T01:10:21.232178+00:00
neomjs/neo,1,javascript,3185,https://github.com/neomjs/neo.git,60,,2026-05-26T01:10:24.189058+00:00
