repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
cuthbertlab/music21,1,python,2485,https://github.com/cuthbertlab/music21.git,107,,2026-05-26T04:00:23.591729+00:00
capitalone/datacompy,1,python,645,https://github.com/capitalone/datacompy.git,33,,2026-05-26T04:00:28.043981+00:00
beetbox/beets,1,python,15166,https://github.com/beetbox/beets.git,346,,2026-05-26T04:00:33.432583+00:00
readthedocs/readthedocs.org,1,python,8356,https://github.com/readthedocs/readthedocs.org.git,413,,2026-05-26T04:00:43.879989+00:00
crossbario/crossbar,1,python,2061,https://github.com/crossbario/crossbar.git,59,,2026-05-26T04:00:48.572887+00:00
databiosphere/toil,1,python,931,https://github.com/databiosphere/toil.git,118,,2026-05-26T04:00:59.208193+00:00
crytic/slither,1,python,6256,https://github.com/crytic/slither.git,153,,2026-05-26T04:01:02.444643+00:00
albumentations-team/albumentations,1,python,15016,https://github.com/albumentations-team/albumentations.git,167,,2026-05-26T04:01:56.810013+00:00
hypothesisworks/hypothesis,1,python,8645,https://github.com/hypothesisworks/hypothesis.git,314,,2026-05-26T04:02:02.896410+00:00
espressif/esptool,1,python,6333,https://github.com/espressif/esptool.git,127,,2026-05-26T04:02:03.947688+00:00
librephotos/librephotos,1,python,7991,https://github.com/librephotos/librephotos.git,193,,2026-05-26T04:02:12.792744+00:00
online-ml/river,1,python,5823,https://github.com/online-ml/river.git,129,,2026-05-26T04:02:16.328836+00:00
quay/quay,1,python,2773,https://github.com/quay/quay.git,126,,2026-05-26T04:02:17.523883+00:00
aiogram/aiogram,1,python,5709,https://github.com/aiogram/aiogram.git,126,,2026-05-26T04:02:17.666812+00:00
seperman/deepdiff,1,python,2400,https://github.com/seperman/deepdiff.git,76,,2026-05-26T04:02:29.426909+00:00
getsentry/sentry-python,1,python,2187,https://github.com/getsentry/sentry-python.git,302,,2026-05-26T04:02:38.262348+00:00
nilearn/nilearn,1,python,1399,https://github.com/nilearn/nilearn.git,224,,2026-05-26T04:03:26.547227+00:00
tencent/bk-sops,1,python,910,https://github.com/tencent/bk-sops.git,38,,2026-05-26T04:03:37.992314+00:00
frostming/pdm,1,python,502,https://github.com/frostming/pdm.git,12,,2026-05-26T04:03:43.629860+00:00
robocorp/rpaframework,1,python,1502,https://github.com/robocorp/rpaframework.git,36,,2026-05-26T04:03:49.502350+00:00
saulpw/visidata,1,python,9096,https://github.com/saulpw/visidata.git,111,,2026-05-26T04:04:21.265230+00:00
qdata/textattack,1,python,3402,https://github.com/qdata/textattack.git,60,,2026-05-26T04:04:57.459057+00:00
mozilla/kitsune,1,python,1611,https://github.com/mozilla/kitsune.git,124,,2026-05-26T04:05:30.122213+00:00
enms-automation/enms,1,python,835,https://github.com/enms-automation/enms.git,20,,2026-05-26T04:05:33.186445+00:00
open-telemetry/opentelemetry-python,1,python,2458,https://github.com/open-telemetry/opentelemetry-python.git,348,,2026-05-26T04:06:09.158545+00:00
datadog/integrations-core,1,python,1116,https://github.com/datadog/integrations-core.git,383,,2026-05-26T04:06:16.919379+00:00
microsoft/debugpy,1,python,2410,https://github.com/microsoft/debugpy.git,77,,2026-05-26T04:06:33.976584+00:00
cdgriffith/fastflix,1,python,1526,https://github.com/cdgriffith/fastflix.git,1,,2026-05-26T04:06:48.680817+00:00
pulp/pulpcore,1,python,550,https://github.com/pulp/pulpcore.git,139,,2026-05-26T04:06:51.291608+00:00
datadog/dd-trace-py,1,python,638,https://github.com/datadog/dd-trace-py.git,363,,2026-05-26T04:07:11.173420+00:00
mirumee/saleor,1,python,14012,https://github.com/mirumee/saleor.git,179,,2026-05-26T04:07:23.997938+00:00
yelp/paasta,1,python,1725,https://github.com/yelp/paasta.git,191,,2026-05-26T04:07:26.636390+00:00
graphistry/pygraphistry,1,python,2485,https://github.com/graphistry/pygraphistry.git,39,,2026-05-26T04:07:41.120108+00:00
emeryberger/csrankings,1,python,3133,https://github.com/emeryberger/csrankings.git,416,,2026-05-26T04:07:42.752806+00:00
openstates/openstates-scrapers,1,python,899,https://github.com/openstates/openstates-scrapers.git,162,,2026-05-26T04:08:01.180967+00:00
systemd/mkosi,1,python,1898,https://github.com/systemd/mkosi.git,192,,2026-05-26T04:08:06.979866+00:00
3b1b/videos,1,python,10633,https://github.com/3b1b/videos.git,13,,2026-05-26T04:08:42.482607+00:00
quic/aimet,1,python,2617,https://github.com/quic/aimet.git,79,,2026-05-26T04:08:44.409224+00:00
openmc-dev/openmc,1,python,1022,https://github.com/openmc-dev/openmc.git,166,,2026-05-26T04:09:07.562682+00:00
openmdao/openmdao,1,python,724,https://github.com/openmdao/openmdao.git,61,,2026-05-26T04:09:07.646356+00:00
makepath/xarray-spatial,1,python,900,https://github.com/makepath/xarray-spatial.git,29,,2026-05-26T04:09:07.872826+00:00
mlrun/mlrun,1,python,1668,https://github.com/mlrun/mlrun.git,89,,2026-05-26T04:09:10.995472+00:00
dimagi/commcare-hq,1,python,521,https://github.com/dimagi/commcare-hq.git,155,,2026-05-26T04:09:15.026296+00:00
prefecthq/prefect,1,python,22436,https://github.com/prefecthq/prefect.git,421,,2026-05-26T04:09:40.557838+00:00
mongodb/mongo-python-driver,1,python,4345,https://github.com/mongodb/mongo-python-driver.git,193,,2026-05-26T04:09:50.265806+00:00
microsoft/deepspeed,1,python,36490,https://github.com/microsoft/deepspeed.git,361,,2026-05-26T04:10:21.302735+00:00
ets-labs/python-dependency-injector,1,python,4856,https://github.com/ets-labs/python-dependency-injector.git,42,,2026-05-26T04:10:25.103058+00:00
dagster-io/dagster,1,python,15547,https://github.com/dagster-io/dagster.git,410,,2026-05-26T04:10:34.849641+00:00
elyra-ai/elyra,1,python,1993,https://github.com/elyra-ai/elyra.git,69,,2026-05-26T04:10:39.999099+00:00
home-assistant/supervisor,1,python,2167,https://github.com/home-assistant/supervisor.git,101,,2026-05-26T04:10:49.268705+00:00
datalad/datalad,1,python,637,https://github.com/datalad/datalad.git,53,,2026-05-26T04:11:55.653274+00:00
freelawproject/courtlistener,1,python,928,https://github.com/freelawproject/courtlistener.git,100,,2026-05-26T04:11:58.305290+00:00
azure/azure-sdk-for-python,1,python,5540,https://github.com/azure/azure-sdk-for-python.git,403,,2026-05-26T04:12:00.621931+00:00
idom-team/idom,1,python,716,https://github.com/idom-team/idom.git,9,,2026-05-26T04:12:04.356851+00:00
binref/refinery,1,python,843,https://github.com/binref/refinery.git,19,,2026-05-26T04:12:04.410799+00:00
plotly/dash,1,python,24212,https://github.com/plotly/dash.git,182,,2026-05-26T04:12:10.671889+00:00
huggingface/transformers,1,python,160813,https://github.com/huggingface/transformers.git,438,,2026-05-26T04:12:10.831784+00:00
rwightman/pytorch-image-models,1,python,21022,https://github.com/rwightman/pytorch-image-models.git,65,,2026-05-26T04:12:13.825138+00:00
microsoft/playwright-python,1,python,14649,https://github.com/microsoft/playwright-python.git,52,,2026-05-26T04:12:30.979890+00:00
getsentry/sentry,1,python,43878,https://github.com/getsentry/sentry.git,352,,2026-05-26T04:12:36.461230+00:00
freenas/freenas,1,python,1756,https://github.com/freenas/freenas.git,116,,2026-05-26T04:13:22.230834+00:00
fizzadar/pyinfra,1,python,2390,https://github.com/fizzadar/pyinfra.git,93,,2026-05-26T04:13:35.155502+00:00
posthog/posthog,1,python,34515,https://github.com/posthog/posthog.git,400,,2026-05-26T04:13:44.593744+00:00
galaxyproject/galaxy,1,python,1779,https://github.com/galaxyproject/galaxy.git,268,,2026-05-26T04:13:46.877438+00:00
plasmapy/plasmapy,1,python,681,https://github.com/plasmapy/plasmapy.git,143,,2026-05-26T04:13:50.978455+00:00
zigpy/zha-device-handlers,1,python,1087,https://github.com/zigpy/zha-device-handlers.git,470,,2026-05-26T04:13:58.362818+00:00
brndnmtthws/thetagang,1,python,2608,https://github.com/brndnmtthws/thetagang.git,10,,2026-05-26T04:13:59.360464+00:00
couchers-org/couchers,1,python,533,https://github.com/couchers-org/couchers.git,156,,2026-05-26T04:14:12.030614+00:00
aio-libs/aiohttp,1,python,16442,https://github.com/aio-libs/aiohttp.git,410,,2026-05-26T04:14:12.436533+00:00
kovidgoyal/kitty,1,python,33019,https://github.com/kovidgoyal/kitty.git,409,,2026-05-26T04:14:20.320946+00:00
saltstack/salt,1,python,15435,https://github.com/saltstack/salt.git,285,,2026-05-26T04:14:25.371893+00:00
maiot-io/zenml,1,python,1219,https://github.com/maiot-io/zenml.git,12,,2026-05-26T04:14:28.301309+00:00
apache/tvm,1,python,13372,https://github.com/apache/tvm.git,366,,2026-05-26T04:14:45.245801+00:00
kornia/kornia,1,python,11212,https://github.com/kornia/kornia.git,338,,2026-05-26T04:14:48.610090+00:00
nuitka/nuitka,1,python,14841,https://github.com/nuitka/nuitka.git,195,,2026-05-26T04:14:48.697993+00:00
streamlit/streamlit,1,python,44653,https://github.com/streamlit/streamlit.git,309,,2026-05-26T04:15:18.448971+00:00
kubeflow/pipelines,1,python,4147,https://github.com/kubeflow/pipelines.git,409,,2026-05-26T04:15:31.928354+00:00
mlflow/mlflow,1,python,26034,https://github.com/mlflow/mlflow.git,447,,2026-05-26T04:15:43.062245+00:00
aragonsnow/qiandao,1,python,689,https://github.com/aragonsnow/qiandao.git,7,,2026-05-26T04:15:59.866705+00:00
kevoreilly/capev2,1,python,3205,https://github.com/kevoreilly/capev2.git,166,,2026-05-26T04:16:00.156291+00:00
chia-network/chia-blockchain,1,python,10843,https://github.com/chia-network/chia-blockchain.git,180,,2026-05-26T04:16:09.980844+00:00
