repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
assertj/assertj-core,1,java,2190,https://github.com/assertj/assertj-core.git,298,,2026-05-25T23:35:21.933759+00:00
flutter/flutter-intellij,1,java,2015,https://github.com/flutter/flutter-intellij.git,67,,2026-05-25T23:36:56.556125+00:00
pinpoint-apm/pinpoint,1,java,13818,https://github.com/pinpoint-apm/pinpoint.git,123,,2026-05-25T23:37:02.243291+00:00
line/centraldogma,1,java,662,https://github.com/line/centraldogma.git,47,,2026-05-25T23:37:34.726670+00:00
kestra-io/kestra,1,java,26908,https://github.com/kestra-io/kestra.git,420,,2026-05-25T23:38:41.932041+00:00
alibaba/nacos,1,java,32963,https://github.com/alibaba/nacos.git,385,,2026-05-25T23:39:19.897970+00:00
apache/skywalking,1,java,24803,https://github.com/apache/skywalking.git,387,,2026-05-25T23:39:33.538467+00:00
apache/pulsar,1,java,15251,https://github.com/apache/pulsar.git,362,,2026-05-25T23:39:37.163061+00:00
apache/incubator-dolphinscheduler,1,java,5269,https://github.com/apache/incubator-dolphinscheduler.git,183,,2026-05-25T23:39:52.382796+00:00
debezium/debezium,1,java,12743,https://github.com/debezium/debezium.git,365,,2026-05-25T23:39:54.595501+00:00
theonedev/onedev,1,java,15006,https://github.com/theonedev/onedev.git,31,,2026-05-25T23:40:12.456773+00:00
open-telemetry/opentelemetry-java-instrumentation,1,java,2541,https://github.com/open-telemetry/opentelemetry-java-instrumentation.git,355,,2026-05-25T23:40:43.957431+00:00
strimzi/strimzi-kafka-operator,1,java,5816,https://github.com/strimzi/strimzi-kafka-operator.git,306,,2026-05-25T23:42:08.031537+00:00
jline/jline3,1,java,1766,https://github.com/jline/jline3.git,110,,2026-05-25T23:44:06.824910+00:00
apache/iotdb,1,java,6331,https://github.com/apache/iotdb.git,300,,2026-05-25T23:44:18.493154+00:00
apache/nifi,1,java,6095,https://github.com/apache/nifi.git,312,,2026-05-25T23:45:14.949089+00:00
hyperledger/besu,1,java,1772,https://github.com/hyperledger/besu.git,247,,2026-05-25T23:45:49.464649+00:00
bazelbuild/intellij,1,java,816,https://github.com/bazelbuild/intellij.git,128,,2026-05-25T23:46:00.058108+00:00
oraxen/oraxen,1,java,713,https://github.com/oraxen/oraxen.git,60,,2026-05-25T23:46:16.963200+00:00
java-operator-sdk/java-operator-sdk,1,java,577,https://github.com/java-operator-sdk/java-operator-sdk.git,56,,2026-05-25T23:46:17.875531+00:00
openrewrite/rewrite,1,java,3504,https://github.com/openrewrite/rewrite.git,256,,2026-05-25T23:46:55.762990+00:00
awslabs/djl,1,java,1797,https://github.com/awslabs/djl.git,37,,2026-05-25T23:47:42.712497+00:00
microsoft/playwright-java,1,java,1489,https://github.com/microsoft/playwright-java.git,41,,2026-05-25T23:49:03.827087+00:00
prestosql/presto,1,java,1575,https://github.com/prestosql/presto.git,439,,2026-05-25T23:49:43.021765+00:00
sakaiproject/sakai,1,java,1216,https://github.com/sakaiproject/sakai.git,233,,2026-05-25T23:50:11.730183+00:00
ls1intum/artemis,1,java,765,https://github.com/ls1intum/artemis.git,294,,2026-05-25T23:51:30.779996+00:00
datadog/dd-trace-java,1,java,722,https://github.com/datadog/dd-trace-java.git,236,,2026-05-25T23:51:35.088714+00:00
zeebe-io/zeebe,1,java,1762,https://github.com/zeebe-io/zeebe.git,60,,2026-05-25T23:51:44.616135+00:00
hapifhir/hapi-fhir,1,java,2330,https://github.com/hapifhir/hapi-fhir.git,263,,2026-05-25T23:53:06.161988+00:00
quarkusio/quarkus,1,java,15682,https://github.com/quarkusio/quarkus.git,378,,2026-05-25T23:53:14.364101+00:00
apache/shardingsphere,1,java,20725,https://github.com/apache/shardingsphere.git,315,,2026-05-25T23:53:35.046959+00:00
erupts/erupt,1,java,2729,https://github.com/erupts/erupt.git,27,,2026-05-25T23:53:43.527221+00:00
trinodb/trino,1,java,12848,https://github.com/trinodb/trino.git,336,,2026-05-25T23:54:46.086681+00:00
