repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics,discovery_tier
oakserver/oak,1,typescript,5400,https://github.com/oakserver/oak.git,81,,copilot-instructions.md,2026-07-25T03:10:15.513889+00:00,2018-12-12T10:20:46,"[""deno"", ""http-server"", ""middleware-framework"", ""middleware-frameworks"", ""oak"", ""router-middleware""]",1
felixrieseberg/windows95,1,typescript,24160,https://github.com/felixrieseberg/windows95.git,16,,.claude/,2026-07-25T03:10:16.030584+00:00,2018-08-23T05:04:38,[],1
thomasnordquist/mqtt-explorer,1,typescript,3914,https://github.com/thomasnordquist/mqtt-explorer.git,13,,copilot-instructions.md,2026-07-25T03:10:19.625847+00:00,2019-01-02T03:38:09,"[""homeautomation"", ""mqtt"", ""mqtt-client"", ""mqtt-explorer"", ""mqtt-smarthome"", ""mqtt-tool""]",1
bestofjs/bestofjs-webui,1,typescript,2213,https://github.com/bestofjs/bestofjs-webui.git,16,,.cursor/,2026-07-25T03:10:20.079228+00:00,2015-06-19T11:27:39,"[""github-stars"", ""hall-of-fame"", ""trends""]",1
chinachu/mirakurun,1,typescript,726,https://github.com/chinachu/mirakurun.git,30,,.github/instructions/,2026-07-25T03:10:22.046178+00:00,2015-04-04T07:58:21,"[""chinachu"", ""client"", ""dtv"", ""dvb"", ""dvr"", ""epg"", ""isdb"", ""javascript"", ""linux"", ""middleware"", ""mirakurun"", ""openapi"", ""server"", ""typescript""]",1
xaviergonz/mobx-keystone,1,typescript,612,https://github.com/xaviergonz/mobx-keystone.git,14,,CLAUDE.md,2026-07-25T03:10:23.914885+00:00,2019-05-15T07:09:44,"[""data-trees"", ""frp"", ""functional-reactive-programming"", ""immutability"", ""mobx"", ""mobx-keystone"", ""mobx-state-tree"", ""mutability"", ""reactive"", ""snapshots"", ""state-management"", ""state-tree""]",1
neet/masto.js,1,typescript,784,https://github.com/neet/masto.js.git,35,,CLAUDE.md,2026-07-25T03:10:24.211309+00:00,2018-04-13T07:27:40,"[""fediverse"", ""mastodon"", ""mastodon-api""]",1
photostructure/exiftool-vendored.js,1,typescript,553,https://github.com/photostructure/exiftool-vendored.js.git,14,,CLAUDE.md,2026-07-25T03:10:24.212325+00:00,2016-10-13T03:56:38,"[""cross-platform"", ""exif"", ""exiftool"", ""gps"", ""image"", ""images"", ""metadata"", ""metadata-extraction"", ""movies"", ""nodejs"", ""photo"", ""photographs"", ""photography"", ""photos"", ""video"", ""videos""]",1
markuplint/markuplint,1,typescript,605,https://github.com/markuplint/markuplint.git,43,,CLAUDE.md,2026-07-25T03:10:32.352604+00:00,2017-09-26T04:25:35,"[""alpinejs"", ""custom-elements"", ""html"", ""htmx"", ""jsx-templates"", ""linter"", ""liquid"", ""mustache-templates"", ""nunjucks"", ""php"", ""pug"", ""react"", ""svelte"", ""vue""]",1
microsoft/maker.js,1,typescript,2009,https://github.com/microsoft/maker.js.git,18,,copilot-instructions.md,2026-07-25T03:10:39.638115+00:00,2015-05-08T07:39:23,"[""arc"", ""bezier"", ""cad"", ""circle"", ""cnc"", ""draw"", ""drawing"", ""dxf"", ""fonts"", ""geometry"", ""laser"", ""line"", ""maker"", ""openjscad"", ""pdf"", ""rectangle"", ""svg"", ""vector""]",1
swimlane/ngx-graph,1,typescript,995,https://github.com/swimlane/ngx-graph.git,38,,.cursor/,2026-07-25T03:10:44.497901+00:00,2017-02-23T05:18:33,"[""angular"", ""angular2"", ""chart"", ""dag"", ""data-viz"", ""directed-graph"", ""svg"", ""workflow""]",1
johnpapa/vscode-peacock,1,typescript,1151,https://github.com/johnpapa/vscode-peacock.git,35,,copilot-instructions.md,2026-07-25T03:10:48.238869+00:00,2019-02-22T05:50:25,"[""ai-ready"", ""typescript"", ""visual-studio-code"", ""vscode"", ""vscode-extension"", ""vscode-plugin"", ""vsls""]",1
rocketchat/rocket.chat.electron,1,typescript,1691,https://github.com/rocketchat/rocket.chat.electron.git,167,,.cursor/,2026-07-25T03:10:49.184307+00:00,2015-07-08T04:56:41,"[""chat"", ""collaboration"", ""desktop"", ""electron"", ""foss"", ""hacktoberfest"", ""linux"", ""macos"", ""mit"", ""opensource"", ""rocketchat"", ""windows""]",1
ripple/ripple-lib,1,typescript,958,https://github.com/ripple/ripple-lib.git,100,,.claude/,2026-07-25T03:10:49.214584+00:00,2013-04-25T09:17:19,[],1
online-go/online-go.com,1,typescript,1532,https://github.com/online-go/online-go.com.git,155,,.cursor/,2026-07-25T03:10:53.476812+00:00,2017-02-24T03:21:23,"[""baduk"", ""hacktoberfest"", ""igo""]",1
artalar/reatom,1,typescript,1158,https://github.com/artalar/reatom.git,82,,.cursor/,2026-07-25T03:10:58.812895+00:00,2019-05-04T06:27:50,"[""flux"", ""react"", ""reactive"", ""reactive-programming"", ""reactivity"", ""reatom"", ""state"", ""state-management"", ""state-manager"", ""store""]",1
kristiandupont/kanel,1,typescript,1160,https://github.com/kristiandupont/kanel.git,51,,.claude/,2026-07-25T03:11:04.178489+00:00,2020-02-18T07:08:09,[],1
jamiebrynes7/obsidian-todoist-plugin,1,typescript,1138,https://github.com/jamiebrynes7/obsidian-todoist-plugin.git,6,,CLAUDE.md,2026-07-25T03:11:05.985699+00:00,2020-08-29T02:13:28,"[""obsidian"", ""obsidian-md"", ""obsidian-plugin"", ""todoist""]",1
