repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
apache/hop,1,java,1417,https://github.com/apache/hop.git,118,,,2026-07-29T03:04:33.555386+00:00,2019-09-24T10:48:12,"[""apache"", ""data-integration"", ""etl"", ""hop"", ""java"", ""orchestration"", ""pipeline"", ""streaming"", ""workflow""]"
apache/incubator-dolphinscheduler,1,java,5269,https://github.com/apache/incubator-dolphinscheduler.git,183,,,2026-07-29T03:04:33.555386+00:00,2019-03-01T04:39:25,[]
apache/incubator-doris,1,java,3854,https://github.com/apache/incubator-doris.git,233,,,2026-07-29T03:04:33.555386+00:00,2017-08-10T12:13:30,[]
apache/incubator-fury,1,java,2723,https://github.com/apache/incubator-fury.git,48,,,2026-07-29T03:04:33.555386+00:00,2023-04-28T03:57:00,"[""compression"", ""cpp"", ""cross-language"", ""encoding"", ""fast"", ""golang"", ""hacktoberfest"", ""java"", ""javascript"", ""jit"", ""lightning"", ""marshalling"", ""multiple-language"", ""persistence"", ""python"", ""rpc"", ""rust"", ""serialization"", ""transfer"", ""zero-copy""]"
apache/incubator-pinot,1,java,3170,https://github.com/apache/incubator-pinot.git,174,,,2026-07-29T03:04:33.555386+00:00,2014-05-19T11:27:48,[]
apache/incubator-seatunnel,1,java,3903,https://github.com/apache/incubator-seatunnel.git,123,,,2026-07-29T03:04:33.555386+00:00,2017-08-05T09:14:47,[]
apache/iotdb,1,java,6359,https://github.com/apache/iotdb.git,300,,,2026-07-29T03:04:33.555386+00:00,2018-11-24T09:29:17,"[""big-data"", ""database"", ""iot"", ""java"", ""nosql"", ""timeseries"", ""tsdb""]"
apache/nifi,1,java,6155,https://github.com/apache/nifi.git,312,,,2026-07-29T03:04:33.555386+00:00,2014-12-12T08:00:05,"[""apache"", ""hacktoberfest"", ""java"", ""nifi""]"
apache/orc,1,java,767,https://github.com/apache/orc.git,145,,,2026-07-29T03:04:33.555386+00:00,2015-05-06T07:00:05,"[""apache"", ""big-data"", ""cpp"", ""java"", ""orc""]"
apache/ozone,1,java,1229,https://github.com/apache/ozone.git,282,,,2026-07-29T03:04:33.555386+00:00,2019-10-02T03:56:19,"[""big-data"", ""hadoop"", ""kubernetes"", ""object-store"", ""s3"", ""storage""]"
