commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
4b303193b0a4b8b1d77e25b5a66dd0acd60a5eaf,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
200d95463a0d39967e2968b88ff8db94dda37047,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
c300b4dcab096b31470a2173e95d74d0bf4c13ea,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
d6a05c1248f15f9bb8aa6a2ae8c993a23f55f461,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
06ff79b4e998c82fcd4a7025ba6f3d716dbbc196,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
6b709680f84005a2c0eb702605d0cb3feadea843,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
1ac0f2b88687c04a8000f9bfb25bc363d77a4185,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
9b8c5b538932ca8c8bd316ffbaad8dd5256ebfdd,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
118287c2c6bf4df69f33c1abf2a70c60b2a8c1cc,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
5d90fb8c1090974217a1da518b36a0800faaafb1,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
d69df65d76af0f467b02624a7efb758e776a7fa7,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
ebeb62c66db3ef5d592ef235506aec3460676ae5,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
f31a4ae5d30024af1793e0350b875731fae38699,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
ad1ae0eeb30af1c1bb81cb494b08741747b4c4eb,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
d2abb7a48dcf9cc56f6eed98d02f4fef4e98810d,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
06da3e4931e81f04c00ebae149dc05e04b11c00a,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
0eb4af270f24ec21e0489cb4cec38dab3067ae8d,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
f80c9ab409cde975cd3c1443e3443121c45a5a66,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
8f691a59df9f5eb293c87d3df532b87eb34f9d73,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
cd4195682c2d437a41fa8fc85f8fe7b5dbcaadf3,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
997dc9ce83c4f298747cf7658577050f730d130b,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
fa0a67b785827b96fe752f85d409270c6b162e81,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
